,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0,0.568,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,0.851,235545,0.541,6FRLCMO5TUHTexlWo8ym1W,0.0,0,0.13,-6.825,1,0.0505,124.959,4,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,audio_features,spotify:track:6FRLCMO5TUHTexlWo8ym1W,0.448,95
1,0.374,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,0.747,215760,0.834,4kWO6O1BUXcZmaxitpVUwp,0.0,3,0.0586,-2.867,0,0.045,128.005,4,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,audio_features,spotify:track:4kWO6O1BUXcZmaxitpVUwp,0.687,93
2,0.377,https://api.spotify.com/v1/audio-analysis/32iYwQ4OYiurnGnOfJ1aEh,0.437,239947,0.481,32iYwQ4OYiurnGnOfJ1aEh,0.0,11,0.33,-9.681,0,0.237,83.606,4,https://api.spotify.com/v1/tracks/32iYwQ4OYiurnGnOfJ1aEh,audio_features,spotify:track:32iYwQ4OYiurnGnOfJ1aEh,0.216,75
3,0.162,https://api.spotify.com/v1/audio-analysis/1Nj2oBISdFDSF8eDuXcALz,0.564,165627,0.722,1Nj2oBISdFDSF8eDuXcALz,0.0,1,0.0931,-5.59,0,0.124,99.083,4,https://api.spotify.com/v1/tracks/1Nj2oBISdFDSF8eDuXcALz,audio_features,spotify:track:1Nj2oBISdFDSF8eDuXcALz,0.276,89
4,0.0236,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,232959,0.559,5IaHrVsrferBYDm0bDyABy,0.0,0,0.101,-7.442,1,0.12,97.994,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,0.342,94
5,0.0441,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,0.565,96
6,0.0945,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,0.601,207905,0.724,4hQ6UGyWQIGJmHSo0J88JW,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,audio_features,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,0.508,93
7,0.323,https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3,0.69,194408,0.784,3u1S1OmAUhx5DRlLrXqyp3,0.0,1,0.203,-4.653,1,0.032,106.066,4,https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3,audio_features,spotify:track:3u1S1OmAUhx5DRlLrXqyp3,0.669,88
8,0.011,https://api.spotify.com/v1/audio-analysis/62GXGpd73vslqIBHq8XqOx,0.705,264853,0.762,62GXGpd73vslqIBHq8XqOx,2.37e-06,9,0.205,-6.713,1,0.217,160.05,4,https://api.spotify.com/v1/tracks/62GXGpd73vslqIBHq8XqOx,audio_features,spotify:track:62GXGpd73vslqIBHq8XqOx,0.34,77
9,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5,0.372,-3.998,0,0.129,136.048,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65,98
10,0.3,https://api.spotify.com/v1/audio-analysis/0WVAQaxrT0wsGEG4BCVSn2,0.688,193321,0.688,0WVAQaxrT0wsGEG4BCVSn2,0.0,3,0.0982,-5.84,1,0.0357,114.011,4,https://api.spotify.com/v1/tracks/0WVAQaxrT0wsGEG4BCVSn2,audio_features,spotify:track:0WVAQaxrT0wsGEG4BCVSn2,0.451,78
11,0.0169,https://api.spotify.com/v1/audio-analysis/55S2PQgSMYAhgoTCcGCDfw,0.596,203418,0.854,55S2PQgSMYAhgoTCcGCDfw,0.0,7,0.124,-5.114,0,0.463,120.274,4,https://api.spotify.com/v1/tracks/55S2PQgSMYAhgoTCcGCDfw,audio_features,spotify:track:55S2PQgSMYAhgoTCcGCDfw,0.152,95
12,0.0375,https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9,0.703,205947,0.696,5SxkdsY1ufZzoq9iXceLw9,5.65e-06,0,0.274,-5.482,1,0.0529,121.969,4,https://api.spotify.com/v1/tracks/5SxkdsY1ufZzoq9iXceLw9,audio_features,spotify:track:5SxkdsY1ufZzoq9iXceLw9,0.366,98
13,0.125,https://api.spotify.com/v1/audio-analysis/3qnoOm4fwZPBS116f5hpgF,0.925,145507,0.308,3qnoOm4fwZPBS116f5hpgF,0.0,11,0.0933,-6.562,0,0.338,122.099,4,https://api.spotify.com/v1/tracks/3qnoOm4fwZPBS116f5hpgF,audio_features,spotify:track:3qnoOm4fwZPBS116f5hpgF,0.265,94
14,0.278,https://api.spotify.com/v1/audio-analysis/447yWcDPg1ddgcHBLGpJC0,0.783,222866,0.537,447yWcDPg1ddgcHBLGpJC0,0.0,9,0.229,-2.921,1,0.0749,113.977,4,https://api.spotify.com/v1/tracks/447yWcDPg1ddgcHBLGpJC0,audio_features,spotify:track:447yWcDPg1ddgcHBLGpJC0,0.392,85
15,0.175,https://api.spotify.com/v1/audio-analysis/3JJYIoJ5FyY9E0DGjr7SXF,0.696,194755,0.693,3JJYIoJ5FyY9E0DGjr7SXF,0.0,3,0.122,-4.64,1,0.044,126.025,4,https://api.spotify.com/v1/tracks/3JJYIoJ5FyY9E0DGjr7SXF,audio_features,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,0.601,82
16,0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267,0.563,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.136,-5.843,1,0.0454,145.028,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.374,100
17,0.584,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,0.506,216420,0.693,3nc420PXjTdBV5TN0gCFkS,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,audio_features,spotify:track:3nc420PXjTdBV5TN0gCFkS,0.221,89
18,0.794,https://api.spotify.com/v1/audio-analysis/7hDVYcQq6MxkdJGweuCtl9,0.348,200379,0.385,7hDVYcQq6MxkdJGweuCtl9,0.0656,4,0.0856,-8.227,0,0.0573,144.758,4,https://api.spotify.com/v1/tracks/7hDVYcQq6MxkdJGweuCtl9,audio_features,spotify:track:7hDVYcQq6MxkdJGweuCtl9,0.135,80
19,0.0848,https://api.spotify.com/v1/audio-analysis/4P92FrvmYQSAfOpp4cpFEi,0.375,185200,0.889,4P92FrvmYQSAfOpp4cpFEi,0.0,3,0.136,-3.704,1,0.0991,199.669,4,https://api.spotify.com/v1/tracks/4P92FrvmYQSAfOpp4cpFEi,audio_features,spotify:track:4P92FrvmYQSAfOpp4cpFEi,0.881,83
20,0.0476,https://api.spotify.com/v1/audio-analysis/21RzyxY3EFaxVy6K4RqaU9,0.752,163216,0.764,21RzyxY3EFaxVy6K4RqaU9,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,4,https://api.spotify.com/v1/tracks/21RzyxY3EFaxVy6K4RqaU9,audio_features,spotify:track:21RzyxY3EFaxVy6K4RqaU9,0.582,80
21,0.804,https://api.spotify.com/v1/audio-analysis/5QskYLFPX9y7pLU0VEMNbr,0.747,159400,0.452,5QskYLFPX9y7pLU0VEMNbr,0.0,2,0.108,-9.336,1,0.209,153.849,4,https://api.spotify.com/v1/tracks/5QskYLFPX9y7pLU0VEMNbr,audio_features,spotify:track:5QskYLFPX9y7pLU0VEMNbr,0.649,84
22,0.354,https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww,0.791,188560,0.745,2ijef6ni2amuunRoKTlgww,2.93e-05,11,0.104,-3.695,0,0.0464,94.014,4,https://api.spotify.com/v1/tracks/2ijef6ni2amuunRoKTlgww,audio_features,spotify:track:2ijef6ni2amuunRoKTlgww,0.82,93
23,0.733,https://api.spotify.com/v1/audio-analysis/2uaiyLKnYvazyfR0Ky3Kbk,0.649,169181,0.548,2uaiyLKnYvazyfR0Ky3Kbk,0.0,1,0.136,-5.692,0,0.0318,150.036,4,https://api.spotify.com/v1/tracks/2uaiyLKnYvazyfR0Ky3Kbk,audio_features,spotify:track:2uaiyLKnYvazyfR0Ky3Kbk,0.506,81
24,0.186,https://api.spotify.com/v1/audio-analysis/3pWcj8hxj3fsb9TDAcMpEl,0.532,223147,0.616,3pWcj8hxj3fsb9TDAcMpEl,0.0,10,0.0928,-7.074,0,0.0328,101.883,4,https://api.spotify.com/v1/tracks/3pWcj8hxj3fsb9TDAcMpEl,audio_features,spotify:track:3pWcj8hxj3fsb9TDAcMpEl,0.292,90
25,0.325,https://api.spotify.com/v1/audio-analysis/3bH4HzoZZFq8UpZmI2AMgV,0.828,216015,0.689,3bH4HzoZZFq8UpZmI2AMgV,0.0384,7,0.0808,-7.878,1,0.0326,123.931,4,https://api.spotify.com/v1/tracks/3bH4HzoZZFq8UpZmI2AMgV,audio_features,spotify:track:3bH4HzoZZFq8UpZmI2AMgV,0.853,88
26,0.934,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,0.351,200186,0.296,0u2P5u6lvoDfwTYjAADbn4,0.0,4,0.095,-10.109,0,0.0333,115.284,4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4,0.12,93
27,0.037,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,0.791,214847,0.862,7ef4DlsgrMEH11cDZd32M6,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,audio_features,spotify:track:7ef4DlsgrMEH11cDZd32M6,0.592,99
28,0.263,https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk,0.899,214139,0.592,54oMZ3blwWwuPN4wEoG5mk,0.0,11,0.0831,-7.901,0,0.333,149.953,4,https://api.spotify.com/v1/tracks/54oMZ3blwWwuPN4wEoG5mk,audio_features,spotify:track:54oMZ3blwWwuPN4wEoG5mk,0.504,92
29,0.0294,https://api.spotify.com/v1/audio-analysis/19MBk3PbNFE36wqIqkMq9H,0.702,205209,0.844,19MBk3PbNFE36wqIqkMq9H,0.0,6,0.38,-4.054,0,0.0769,100.043,4,https://api.spotify.com/v1/tracks/19MBk3PbNFE36wqIqkMq9H,audio_features,spotify:track:19MBk3PbNFE36wqIqkMq9H,0.786,89
30,0.0372,https://api.spotify.com/v1/audio-analysis/4Pbg79cTBu4vgSphoyNq3j,0.697,186987,0.683,4Pbg79cTBu4vgSphoyNq3j,0.0,1,0.137,-2.881,0,0.117,96.133,4,https://api.spotify.com/v1/tracks/4Pbg79cTBu4vgSphoyNq3j,audio_features,spotify:track:4Pbg79cTBu4vgSphoyNq3j,0.603,90
31,0.0854,https://api.spotify.com/v1/audio-analysis/003eoIwxETJujVWmNFMoZy,0.359,193680,0.728,003eoIwxETJujVWmNFMoZy,0.0,6,0.489,-6.281,0,0.598,191.227,4,https://api.spotify.com/v1/tracks/003eoIwxETJujVWmNFMoZy,audio_features,spotify:track:003eoIwxETJujVWmNFMoZy,0.441,81
32,0.161,https://api.spotify.com/v1/audio-analysis/5qFeMRz4TvetPmzjre9Dq7,0.684,250840,0.811,5qFeMRz4TvetPmzjre9Dq7,0.000363,7,0.0871,-4.494,1,0.0714,87.866,4,https://api.spotify.com/v1/tracks/5qFeMRz4TvetPmzjre9Dq7,audio_features,spotify:track:5qFeMRz4TvetPmzjre9Dq7,0.721,78
33,0.192,https://api.spotify.com/v1/audio-analysis/7boPPE857KEqCIHNwFkDop,0.365,203400,0.692,7boPPE857KEqCIHNwFkDop,1.51e-06,3,0.0862,-4.586,0,0.0671,89.998,4,https://api.spotify.com/v1/tracks/7boPPE857KEqCIHNwFkDop,audio_features,spotify:track:7boPPE857KEqCIHNwFkDop,0.372,88
34,0.095,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,0.481,256064,0.79,0At2qAoaVjIwWNAqrscXli,0.0,10,0.0802,-5.189,0,0.0606,81.939,4,https://api.spotify.com/v1/tracks/0At2qAoaVjIwWNAqrscXli,audio_features,spotify:track:0At2qAoaVjIwWNAqrscXli,0.24,82
35,0.25,https://api.spotify.com/v1/audio-analysis/2OvV4NjEBRE9v8Oo7QeUCq,0.654,207857,0.547,2OvV4NjEBRE9v8Oo7QeUCq,0.0,10,0.0961,-6.598,1,0.127,173.981,4,https://api.spotify.com/v1/tracks/2OvV4NjEBRE9v8Oo7QeUCq,audio_features,spotify:track:2OvV4NjEBRE9v8Oo7QeUCq,0.507,85
36,0.216,https://api.spotify.com/v1/audio-analysis/0BOEuUKoHdy8in20fG5smd,0.893,169324,0.456,0BOEuUKoHdy8in20fG5smd,0.0,9,0.326,-5.82,1,0.167,108.037,4,https://api.spotify.com/v1/tracks/0BOEuUKoHdy8in20fG5smd,audio_features,spotify:track:0BOEuUKoHdy8in20fG5smd,0.681,81
37,0.0615,https://api.spotify.com/v1/audio-analysis/01k24g94i1JvkFLQmVEdCd,0.647,189000,0.853,01k24g94i1JvkFLQmVEdCd,0.0,8,0.062,-4.516,1,0.0904,103.846,4,https://api.spotify.com/v1/tracks/01k24g94i1JvkFLQmVEdCd,audio_features,spotify:track:01k24g94i1JvkFLQmVEdCd,0.618,85
38,0.159,https://api.spotify.com/v1/audio-analysis/63SevszngYpZOwf63o61K4,0.604,157111,0.688,63SevszngYpZOwf63o61K4,1.28e-05,3,0.418,-8.362,1,0.175,99.932,4,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,audio_features,spotify:track:63SevszngYpZOwf63o61K4,0.0793,94
39,0.339,https://api.spotify.com/v1/audio-analysis/4F1yvJfQ7gJkrcgFJQDjOr,0.689,191680,0.584,4F1yvJfQ7gJkrcgFJQDjOr,0.0,1,0.297,-5.768,0,0.119,156.572,4,https://api.spotify.com/v1/tracks/4F1yvJfQ7gJkrcgFJQDjOr,audio_features,spotify:track:4F1yvJfQ7gJkrcgFJQDjOr,0.676,91
40,0.0723,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,0.609,195000,0.726,33IOhptvC2Qoy2UhjiHXLV,8.45e-06,5,0.0895,-4.346,0,0.0414,93.958,4,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV,audio_features,spotify:track:33IOhptvC2Qoy2UhjiHXLV,0.362,94
41,0.0228,https://api.spotify.com/v1/audio-analysis/083Qf6hn6sFL6xiOHlZUyn,0.623,193924,0.851,083Qf6hn6sFL6xiOHlZUyn,0.0,7,0.12,-3.111,1,0.0409,100.063,4,https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn,audio_features,spotify:track:083Qf6hn6sFL6xiOHlZUyn,0.4,89
42,0.0164,https://api.spotify.com/v1/audio-analysis/1YNQscOx6OqBQjxgJVhEeW,0.728,221153,0.69,1YNQscOx6OqBQjxgJVhEeW,0.0,8,0.104,-4.344,0,0.0524,94.028,4,https://api.spotify.com/v1/tracks/1YNQscOx6OqBQjxgJVhEeW,audio_features,spotify:track:1YNQscOx6OqBQjxgJVhEeW,0.415,87
43,0.183,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,0.652,263014,0.678,6Hgh47WXVKtXN5zGOu0hjI,3.26e-05,2,0.106,-6.183,1,0.0541,72.989,4,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,audio_features,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.28,91
44,0.193,https://api.spotify.com/v1/audio-analysis/76S09sHj7GGMJAtOLjmVQ2,0.856,180493,0.632,76S09sHj7GGMJAtOLjmVQ2,0.0,6,0.0688,-3.692,0,0.074,112.009,4,https://api.spotify.com/v1/tracks/76S09sHj7GGMJAtOLjmVQ2,audio_features,spotify:track:76S09sHj7GGMJAtOLjmVQ2,0.697,70
